1,AD,Europe/Andorra,42.5000N,1.5167E
2,AE,Asia/Dubai,25.2048N,55.2708E
3,AF,Asia/Kabul,34.5333N,69.1667E
4,AG,America/Antigua,17.1167N,61.8500W
5,AI,America/Anguilla,18.2272N,63.0490W
6,AL,Europe/Tirane,41.3260N,19.8160E
7,AM,Asia/Yerevan,40.1833N,44.5167E
8,AO,Africa/Luanda,8.8383S,13.2344E
9,AQ,Antarctica/McMurdo,77.8500S,166.6667E
10,AQ,Antarctica/Rothera,67.5667S,68.1333W
11,AQ,Antarctica/Palmer,64.7742S,64.0531W
12,AQ,Antarctica/Mawson,67.6021S,62.8748E
13,AQ,Antarctica/Davis,68.5764S,77.9689E
14,AQ,Antarctica/Casey,66.2817S,110.5244E
15,AQ,Antarctica/Vostok,78.4639S,106.8375E
16,AQ,Antarctica/DumontDUrville,66.6628S,140.0019E
17,AQ,Antarctica/Syowa,69.0000S,39.5833E
18,AQ,Antarctica/Troll,72.0114S,2.5350E
19,AR,America/Argentina/Buenos_Aires,34.6033S,58.3817W
20,AR,America/Argentina/Cordoba,37.8833N,4.7667W
21,AR,America/Argentina/Salta,24.7833S,65.4167W
22,AR,America/Argentina/Jujuy,24.1833S,65.3000W
23,AR,America/Argentina/Tucuman,26.9400S,65.3400W
24,AR,America/Argentina/Catamarca,28.4667S,65.7833W
25,AR,America/Argentina/La_Rioja,29.4125S,66.8542W
26,AR,America/Argentina/San_Juan,18.4500N,66.0667W
27,AR,America/Argentina/Mendoza,32.8833S,68.8167W
28,AR,America/Argentina/San_Luis,33.3000S,66.3333W
29,AR,America/Argentina/Rio_Gallegos,51.6333S,69.2167W
30,AR,America/Argentina/Ushuaia,54.8000S,68.3000W
31,AS,Pacific/Pago_Pago,14.2794S,170.7006W
32,AT,Europe/Vienna,48.2000N,16.3667E
33,AU,Australia/Lord_Howe,31.5500S,159.0833E
34,AU,Antarctica/Macquarie,54.6167S,158.8500E
35,AU,Australia/Hobart,42.8806S,147.3250E
36,AU,Australia/Currie,39.9311S,143.8506E
37,AU,Australia/Melbourne,37.8136S,144.9631E
38,AU,Australia/Sydney,33.8650S,151.2094E
39,AU,Australia/Broken_Hill,31.9567S,141.4678E
40,AU,Australia/Brisbane,27.4667S,153.0333E
41,AU,Australia/Lindeman,20.4500S,149.0333E
42,AU,Australia/Adelaide,34.9290S,138.6010E
43,AU,Australia/Darwin,12.4500S,130.8333E
44,AU,Australia/Perth,31.9522S,115.8589E
45,AU,Australia/Eucla,31.6750S,128.8831E
46,AW,America/Aruba,12.5000N,69.9667W
47,AX,Europe/Mariehamn,60.1000N,19.9333E
48,AZ,Asia/Baku,40.3953N,49.8822E
49,BA,Europe/Sarajevo,43.8667N,18.4167E
50,BB,America/Barbados,13.1667N,59.5500W
51,BD,Asia/Dhaka,23.7000N,90.3667E
52,BE,Europe/Brussels,50.8500N,4.3500E
53,BF,Africa/Ouagadougou,12.3572N,1.5353W
54,BG,Europe/Sofia,42.7000N,23.3333E
55,BH,Asia/Bahrain,26.0275N,50.5500E
56,BI,Africa/Bujumbura,3.3833S,29.3667E
57,BJ,Africa/Porto-Novo,6.4972N,2.6050E
58,BL,America/St_Barthelemy,17.9000N,62.8333W
59,BM,Atlantic/Bermuda,32.3000N,64.7833W
60,BN,Asia/Brunei,4.8903N,114.9422E
61,BO,America/La_Paz,16.5000S,68.1500W
62,BQ,America/Kralendijk,12.1507N,68.2767W
63,BR,America/Noronha,3.8538S,32.4238W
64,BR,America/Belem,1.4558S,48.5039W
65,BR,America/Fortaleza,3.7183S,38.5428W
66,BR,America/Recife,8.0500S,34.9000W
67,BR,America/Araguaina,7.1908S,48.2069W
68,BR,America/Maceio,9.6658S,35.7350W
69,BR,America/Bahia,12.5200S,41.6900W
70,BR,America/Sao_Paulo,23.5500S,46.6333W
71,BR,America/Campo_Grande,20.4622S,54.6111W
72,BR,America/Cuiaba,15.5958S,56.0969W
73,BR,America/Santarem,2.4300S,54.7200W
74,BR,America/Porto_Velho,8.7619S,63.9039W
75,BR,America/Boa_Vista,16.1033N,22.8035W
76,BR,America/Manaus,3.1000S,60.0167W
77,BR,America/Eirunepe,6.6600S,69.8739W
78,BR,America/Rio_Branco,9.9747S,67.8100W
79,BS,America/Nassau,25.0600N,77.3450W
80,BT,Asia/Thimphu,27.4667N,89.6417E
81,BW,Africa/Gaborone,24.6581S,25.9122E
82,BY,Europe/Minsk,53.9000N,27.5667E
83,BZ,America/Belize,17.2500N,88.7667W
84,CA,America/St_Johns,47.5675N,52.7072W
85,CA,America/Halifax,44.6478N,63.5714W
86,CA,America/Glace_Bay,46.2000N,59.9667W
87,CA,America/Moncton,46.1328N,64.7714W
88,CA,America/Goose_Bay,53.3019N,60.4167W
89,CA,America/Blanc-Sablon,51.4167N,57.1333W
90,CA,America/Toronto,43.7000N,79.4000W
91,CA,America/Nipigon,49.0000N,88.4167W
92,CA,America/Thunder_Bay,48.3822N,89.2461W
93,CA,America/Iqaluit,63.7486N,68.5197W
94,CA,America/Pangnirtung,66.1478N,65.6994W
95,CA,America/Resolute,74.6975N,94.8322W
96,CA,America/Atikokan,48.7500N,91.6167W
97,CA,America/Rankin_Inlet,62.8097N,92.0994W
98,CA,America/Winnipeg,49.8994N,97.1392W
99,CA,America/Rainy_River,48.7167N,94.5667W
100,CA,America/Regina,50.4547N,104.6067W
101,CA,America/Swift_Current,50.2881N,107.7939W
102,CA,America/Edmonton,53.5333N,113.5000W
103,CA,America/Cambridge_Bay,69.1172N,105.0531W
104,CA,America/Yellowknife,62.4422N,114.3975W
105,CA,America/Inuvik,68.3617N,133.7306W
106,CA,America/Creston,49.0600N,116.3100W
107,CA,America/Dawson_Creek,55.7606N,120.2356W
108,CA,America/Fort_Nelson,58.8059N,122.6965W
109,CA,America/Vancouver,45.6333N,122.6000W
110,CA,America/Whitehorse,60.7167N,135.0500W
111,CA,America/Dawson,64.0600N,139.4108W
112,CC,Indian/Cocos,12.1167S,96.9000E
113,CD,Africa/Kinshasa,4.3250S,15.3222E
114,CD,Africa/Lubumbashi,11.6667S,27.4667E
115,CF,Africa/Bangui,4.3667N,18.5833E
116,CG,Africa/Brazzaville,4.2678S,15.2919E
117,CH,Europe/Zurich,47.3667N,8.5500E
118,CI,Africa/Abidjan,5.3167N,4.0333W
119,CK,Pacific/Rarotonga,21.2333S,159.7833W
120,CL,America/Santiago,33.4500S,70.6667W
121,CL,Pacific/Easter,27.1167S,109.3667W
122,CM,Africa/Douala,4.0500N,9.7000E
123,CN,Asia/Shanghai,31.2000N,121.5000E
124,CN,Asia/Urumqi,43.8250N,87.6000E
125,CO,America/Bogota,4.5981N,74.0758W
126,CR,America/Costa_Rica,9.9333N,84.0833W
127,CU,America/Havana,23.1333N,82.3833W
128,CV,Atlantic/Cape_Verde,15.1111N,23.6167W
129,CW,America/Curacao,12.1833N,69.0000W
130,CX,Indian/Christmas,10.4833S,105.6333E
131,CY,Asia/Nicosia,35.1667N,33.3667E
132,CZ,Europe/Prague,50.0833N,14.4167E
133,DE,Europe/Berlin,52.5167N,13.3833E
134,DE,Europe/Busingen,47.6969N,8.6903E
135,DJ,Africa/Djibouti,11.6000N,43.1667E
136,DK,Europe/Copenhagen,55.6761N,12.5683E
137,DM,America/Dominica,15.3000N,61.3833W
138,DO,America/Santo_Domingo,18.4667N,69.9500W
139,DZ,Africa/Algiers,36.7667N,3.2167E
140,EC,America/Guayaquil,2.1833S,79.8833W
141,EC,Pacific/Galapagos,0.6667S,90.5500W
142,EE,Europe/Tallinn,59.4372N,24.7453E
143,EG,Africa/Cairo,30.0500N,31.2333E
144,EH,Africa/El_Aaiun,27.1536N,13.2033W
145,ER,Africa/Asmara,15.3333N,38.9333E
146,ES,Europe/Madrid,40.4000N,3.7167W
147,ES,Africa/Ceuta,35.8883N,5.3156W
148,ES,Atlantic/Canary,28.5718N,15.7659W
149,ET,Africa/Addis_Ababa,9.0300N,38.7400E
150,FI,Europe/Helsinki,60.1708N,24.9375E
151,FJ,Pacific/Fiji,18.0000S,179.0000E
152,FK,Atlantic/Stanley,51.6921S,57.8589W
153,FM,Pacific/Chuuk,7.4167N,151.7833E
154,FM,Pacific/Pohnpei,6.8500N,158.2333E
155,FM,Pacific/Kosrae,5.3167N,162.9833E
156,FO,Atlantic/Faroe,62.0000N,6.7833W
157,FR,Europe/Paris,48.8788N,2.3224E
158,GA,Africa/Libreville,0.3901N,9.4544E
159,GB,Europe/London,51.5072N,0.1275W
160,GD,America/Grenada,12.0500N,61.7500W
161,GE,Asia/Tbilisi,41.7167N,44.7833E
162,GF,America/Cayenne,4.9372N,52.3260W
163,GG,Europe/Guernsey,49.4500N,2.5500W
164,GH,Africa/Accra,5.5500N,0.2000W
165,GI,Europe/Gibraltar,36.1430N,5.3530W
166,GL,America/Godthab,64.1750N,51.7389W
167,GL,America/Danmarkshavn,76.7667N,18.6667W
168,GL,America/Scoresbysund,70.5000N,25.0000W
169,GL,America/Thule,76.5311N,68.7031W
170,GM,Africa/Banjul,13.4531N,16.5775W
171,GN,Africa/Conakry,9.5092N,13.7122W
172,GP,America/Guadeloupe,16.2500N,61.5833W
173,GQ,Africa/Malabo,3.7500N,8.7833E
174,GR,Europe/Athens,37.9667N,23.7167E
175,GS,Atlantic/South_Georgia,54.2500S,36.7500W
176,GT,America/Guatemala,14.6133N,90.5353W
177,GU,Pacific/Guam,13.5000N,144.8000E
178,GW,Africa/Bissau,11.8500N,15.5667W
179,GY,America/Guyana,5.0000N,58.7500W
180,HK,Asia/Hong_Kong,22.2783N,114.1747E
181,HN,America/Tegucigalpa,14.1000N,87.2167W
182,HR,Europe/Zagreb,45.8167N,15.9833E
183,HT,America/Port-au-Prince,18.5333N,72.3333W
184,HU,Europe/Budapest,47.4925N,19.0514E
185,ID,Asia/Jakarta,6.1745S,106.8227E
186,ID,Asia/Pontianak,0.0000S,109.3333E
187,ID,Asia/Makassar,5.1333S,119.4167E
188,ID,Asia/Jayapura,2.5330S,140.7170E
189,IE,Europe/Dublin,53.3478N,6.2597W
190,IL,Asia/Jerusalem,31.7833N,35.2167E
191,IM,Europe/Isle_of_Man,54.2500N,4.5000W
192,IN,Asia/Kolkata,22.5667N,88.3667E
193,IO,Indian/Chagos,6.0000S,71.5000E
194,IQ,Asia/Baghdad,33.3333N,44.4333E
195,IR,Asia/Tehran,35.6961N,51.4231E
196,IS,Atlantic/Reykjavik,64.1333N,21.9333W
197,IT,Europe/Rome,41.9000N,12.5000E
198,JE,Europe/Jersey,49.1900N,2.1100W
199,JM,America/Jamaica,18.1824N,77.3218W
200,JO,Asia/Amman,31.9497N,35.9328E
201,JP,Asia/Tokyo,35.6833N,139.6833E
202,KE,Africa/Nairobi,1.2833S,36.8167E
203,KG,Asia/Bishkek,42.8747N,74.6122E
204,KH,Asia/Phnom_Penh,11.5500N,104.9167E
205,KI,Pacific/Tarawa,1.4167N,173.0333E
206,KI,Pacific/Enderbury,3.1333S,171.0833W
207,KI,Pacific/Kiritimati,1.8667N,157.4000W
208,KM,Indian/Comoro,11.6833S,43.2667E
209,KN,America/St_Kitts,17.3000N,62.7333W
210,KP,Asia/Pyongyang,39.0194N,125.7381E
211,KR,Asia/Seoul,37.5667N,126.9667E
212,KW,Asia/Kuwait,29.3667N,47.9667E
213,KY,America/Cayman,19.3333N,81.4000W
214,KZ,Asia/Almaty,43.2775N,76.8958E
215,KZ,Asia/Qyzylorda,44.8500N,65.5167E
216,KZ,Asia/Aqtobe,50.2833N,57.1667E
217,KZ,Asia/Aqtau,43.6500N,51.1500E
218,KZ,Asia/Oral,51.2333N,51.3667E
219,LA,Asia/Vientiane,17.9667N,102.6000E
220,LB,Asia/Beirut,33.8869N,35.5131E
221,LC,America/St_Lucia,14.0167N,60.9833W
222,LI,Europe/Vaduz,47.1410N,9.5210E
223,LK,Asia/Colombo,6.9344N,79.8428E
224,LR,Africa/Monrovia,6.3133N,10.8014W
225,LS,Africa/Maseru,29.3100S,27.4800E
226,LT,Europe/Vilnius,54.6833N,25.2833E
227,LU,Europe/Luxembourg,49.6117N,6.1300E
228,LV,Europe/Riga,56.9489N,24.1064E
229,LY,Africa/Tripoli,32.9022N,13.1858E
230,MA,Africa/Casablanca,33.5333N,7.5833W
231,MC,Europe/Monaco,43.7328N,7.4197E
232,MD,Europe/Chisinau,47.0000N,28.9167E
233,ME,Europe/Podgorica,42.4413N,19.2629E
234,MF,America/Marigot,18.0731N,63.0822W
235,MG,Indian/Antananarivo,18.9333S,47.5167E
236,MH,Pacific/Majuro,7.0667N,171.2667E
237,MH,Pacific/Kwajalein,8.7167N,167.7333E
238,MK,Europe/Skopje,42.0000N,21.4333E
239,ML,Africa/Bamako,12.6500N,8.0000W
240,MM,Asia/Rangoon,16.8000N,96.1500E
241,MN,Asia/Ulaanbaatar,47.9200N,106.9200E
242,MN,Asia/Hovd,47.0000N,92.7500E
243,MN,Asia/Choibalsan,48.0783N,114.5350E
244,MO,Asia/Macau,22.1667N,113.5500E
245,MP,Pacific/Saipan,15.1833N,145.7500E
246,MQ,America/Martinique,14.6667N,61.0000W
247,MR,Africa/Nouakchott,18.1000N,15.9500W
248,MS,America/Montserrat,16.7500N,62.2000W
249,MT,Europe/Malta,35.8833N,14.5000E
250,MU,Indian/Mauritius,20.2000S,57.5000E
251,MV,Indian/Maldives,3.2000N,73.2200E
252,MW,Africa/Blantyre,15.7861S,35.0058E
253,MX,America/Mexico_City,19.4333N,99.1333W
254,MX,America/Cancun,21.1606N,86.8475W
255,MX,America/Merida,20.9700N,89.6200W
256,MX,America/Monterrey,25.6667N,100.3000W
257,MX,America/Matamoros,25.8797N,97.5042W
258,MX,America/Mazatlan,23.2200N,106.4200W
259,MX,America/Chihuahua,28.8167N,106.4333W
260,MX,America/Ojinaga,29.5644N,104.4164W
261,MX,America/Hermosillo,29.0989N,110.9542W
262,MX,America/Tijuana,32.5250N,117.0333W
263,MX,America/Santa_Isabel,17.9661N,66.4050W
264,MX,America/Bahia_Banderas,20.6495N,105.3822W
265,MY,Asia/Kuala_Lumpur,3.1333N,101.6833E
266,MY,Asia/Kuching,1.5600N,110.3450E
267,MZ,Africa/Maputo,25.9667S,32.5833E
268,NA,Africa/Windhoek,22.5700S,17.0836E
269,NC,Pacific/Noumea,22.2758S,166.4580E
270,NE,Africa/Niamey,13.5214N,2.1053E
271,NF,Pacific/Norfolk,29.0333S,167.9500E
272,NG,Africa/Lagos,6.4531N,3.3958E
273,NI,America/Managua,12.1364N,86.2514W
274,NL,Europe/Amsterdam,52.3667N,4.9000E
275,NO,Europe/Oslo,59.9500N,10.7500E
276,NP,Asia/Kathmandu,27.7000N,85.3333E
277,NR,Pacific/Nauru,0.5333S,166.9333E
278,NU,Pacific/Niue,19.0500S,169.9167W
279,NZ,Pacific/Auckland,36.8406S,174.7400E
280,NZ,Pacific/Chatham,44.0333S,176.4333W
281,OM,Asia/Muscat,23.6100N,58.5400E
282,PA,America/Panama,8.9833N,79.5167W
283,PE,America/Lima,12.0433S,77.0283W
284,PF,Pacific/Tahiti,17.6667S,149.4167W
285,PF,Pacific/Marquesas,9.4544S,139.3889W
286,PF,Pacific/Gambier,23.1400S,134.9400W
287,PG,Pacific/Port_Moresby,9.5136S,147.2188E
288,PG,Pacific/Bougainville,6.2444S,155.3839E
289,PH,Asia/Manila,14.5800N,121.0000E
290,PK,Asia/Karachi,24.8600N,67.0100E
291,PL,Europe/Warsaw,52.2333N,21.0167E
292,PM,America/Miquelon,46.7833N,56.2000W
293,PN,Pacific/Pitcairn,25.0667S,130.1000W
294,PR,America/Puerto_Rico,18.4500N,66.1000W
295,PS,Asia/Gaza,31.4167N,34.3333E
296,PS,Asia/Hebron,31.5333N,35.0950E
297,PT,Europe/Lisbon,38.7139N,9.1394W
298,PT,Atlantic/Madeira,32.6511N,16.9097W
299,PT,Atlantic/Azores,37.7411N,25.6756W
300,PW,Pacific/Palau,7.5000N,134.6167E
301,PY,America/Asuncion,25.2667S,57.6333W
302,QA,Asia/Qatar,25.3000N,51.5167E
303,RE,Indian/Reunion,21.1144S,55.5325E
304,RO,Europe/Bucharest,44.4268N,26.1025E
305,RS,Europe/Belgrade,44.8167N,20.4667E
306,RU,Europe/Kaliningrad,54.7167N,20.5167E
307,RU,Europe/Moscow,55.7500N,37.6167E
308,RU,Europe/Simferopol,44.9519N,34.1022E
309,RU,Europe/Volgograd,48.7000N,44.5167E
310,RU,Europe/Samara,53.2028N,50.1408E
311,RU,Asia/Yekaterinburg,56.8333N,60.5833E
312,RU,Asia/Omsk,54.9833N,73.3667E
313,RU,Asia/Novosibirsk,55.0167N,82.9333E
314,RU,Asia/Novokuznetsk,53.7500N,87.1167E
315,RU,Asia/Krasnoyarsk,56.0167N,93.0667E
316,RU,Asia/Irkutsk,52.3122N,104.2958E
317,RU,Asia/Chita,52.0500N,113.4667E
318,RU,Asia/Yakutsk,62.0333N,129.7333E
319,RU,Asia/Khandyga,62.6667N,135.6000E
320,RU,Asia/Vladivostok,43.1333N,131.9000E
321,RU,Asia/Sakhalin,51.0000N,143.0000E
322,RU,Asia/Ust-Nera,64.5681N,143.2361E
323,RU,Asia/Magadan,59.5667N,150.8000E
324,RU,Asia/Srednekolymsk,67.4500N,153.7167E
325,RU,Asia/Kamchatka,57.0000N,160.0000E
326,RU,Asia/Anadyr,64.7333N,177.5167E
327,RW,Africa/Kigali,1.9439S,30.0594E
328,SA,Asia/Riyadh,24.6333N,46.7167E
329,SB,Pacific/Guadalcanal,9.6167S,160.1833E
330,SC,Indian/Mahe,11.7011N,75.5367E
331,SD,Africa/Khartoum,15.6333N,32.5333E
332,SE,Europe/Stockholm,59.3294N,18.0686E
333,SG,Asia/Singapore,1.3000N,103.8000E
334,SH,Atlantic/St_Helena,15.9500S,5.7167W
335,SI,Europe/Ljubljana,46.0556N,14.5083E
336,SJ,Arctic/Longyearbyen,78.2200N,15.6500E
337,SK,Europe/Bratislava,48.1439N,17.1097E
338,SL,Africa/Freetown,8.4844N,13.2344W
339,SM,Europe/San_Marino,43.9346N,12.4473E
340,SN,Africa/Dakar,14.6928N,17.4467W
341,SO,Africa/Mogadishu,2.0333N,45.3500E
342,SR,America/Paramaribo,5.8667N,55.1667W
343,SS,Africa/Juba,4.8500N,31.6000E
344,ST,Africa/Sao_Tome,0.3361N,6.6814E
345,SV,America/El_Salvador,13.6667N,89.1667W
346,SX,America/Lower_Princes,18.0528N,63.0425W
347,SY,Asia/Damascus,33.5131N,36.2919E
348,SZ,Africa/Mbabane,26.3167S,31.1333E
349,TC,America/Grand_Turk,21.4722N,71.1389W
350,TD,Africa/Ndjamena,12.1131N,15.0492E
351,TF,Indian/Kerguelen,49.2500S,69.1667E
352,TG,Africa/Lome,6.1319N,1.2228E
353,TH,Asia/Bangkok,13.7563N,100.5018E
354,TJ,Asia/Dushanbe,38.5367N,68.7800E
355,TK,Pacific/Fakaofo,9.3653S,171.2150W
356,TL,Asia/Dili,8.5500S,125.5667E
357,TM,Asia/Ashgabat,37.9333N,58.3667E
358,TN,Africa/Tunis,36.8000N,10.1833E
359,TO,Pacific/Tongatapu,21.2114S,175.1531W
360,TR,Europe/Istanbul,41.0136N,28.9550E
361,TT,America/Port_of_Spain,10.6667N,61.5167W
362,TV,Pacific/Funafuti,8.5000S,179.1833E
363,TW,Asia/Taipei,25.0333N,121.6333E
364,TZ,Africa/Dar_es_Salaam,6.8000S,39.2833E
365,UA,Europe/Kiev,50.4500N,30.5233E
366,UA,Europe/Uzhgorod,48.6239N,22.3000E
367,UA,Europe/Zaporozhye,47.8333N,35.1667E
368,UG,Africa/Kampala,0.3136N,32.5811E
369,UM,Pacific/Johnston,16.7500N,169.5167W
370,UM,Pacific/Midway,28.2000N,177.3500W
371,UM,Pacific/Wake,19.3000N,166.6333E
372,US,America/New_York,40.7127N,74.0059W
373,US,America/Detroit,42.3314N,83.0458W
374,US,America/Kentucky/Louisville,38.2500N,85.7667W
375,US,America/Kentucky/Monticello,36.8381N,84.8500W
376,US,America/Indiana/Indianapolis,39.7910N,86.1480W
377,US,America/Indiana/Vincennes,38.6783N,87.5161W
378,US,America/Indiana/Winamac,41.0500N,86.6000W
379,US,America/Indiana/Marengo,38.3706N,86.3433W
380,US,America/Indiana/Petersburg,38.4917N,87.2803W
381,US,America/Indiana/Vevay,38.7458N,85.0711W
382,US,America/Chicago,41.8369N,87.6847W
383,US,America/Indiana/Tell_City,37.9531N,86.7614W
384,US,America/Indiana/Knox,41.2942N,86.6225W
385,US,America/Menominee,45.1078N,87.6142W
386,US,America/North_Dakota/Center,47.1150N,101.3003W
387,US,America/North_Dakota/New_Salem,46.8431N,101.4119W
388,US,America/North_Dakota/Beulah,47.2681N,101.7772W
389,US,America/Denver,39.7392N,104.9903W
390,US,America/Boise,43.6167N,116.2000W
391,US,America/Phoenix,33.4500N,112.0667W
392,US,America/Los_Angeles,34.0500N,118.2500W
393,US,America/Metlakatla,55.1269N,131.5764W
394,US,America/Anchorage,61.2167N,149.9000W
395,US,America/Juneau,58.3000N,134.4167W
396,US,America/Sitka,57.0516N,135.3386W
397,US,America/Yakutat,59.5469N,139.7272W
398,US,America/Nome,64.5039N,165.3994W
399,US,America/Adak,51.8720N,176.6360W
400,US,Pacific/Honolulu,21.3000N,157.8167W
401,UY,America/Montevideo,34.8836S,56.1819W
402,UZ,Asia/Samarkand,39.7000N,66.9833E
403,UZ,Asia/Tashkent,41.2667N,69.2167E
404,VA,Europe/Vatican,41.9033N,12.4533E
405,VC,America/St_Vincent,13.2500N,61.2000W
406,VE,America/Caracas,10.5000N,66.9167W
407,VG,America/Tortola,18.4233N,64.6181W
408,VI,America/St_Thomas,18.3333N,64.9167W
409,VN,Asia/Ho_Chi_Minh,10.7500N,106.6667E
410,VU,Pacific/Efate,17.6667S,168.4167E
411,WF,Pacific/Wallis,13.2667S,176.2000W
412,WS,Pacific/Apia,13.8333S,171.7500W
413,YE,Asia/Aden,12.8000N,45.0333E
414,YT,Indian/Mayotte,12.8431S,45.1383E
415,ZA,Africa/Johannesburg,26.2044S,28.0456E
416,ZM,Africa/Lusaka,15.4167S,28.2833E
417,ZW,Africa/Harare,17.8639S,31.0297E
